PRIORITY,ENABLED,SRC TYPE,SRC GRP,INCLUSION(SRC GRP),SRC,SRC ADDR,UID,TYPE,USER NAME,DEPARTMEMT,AUTH SVR,DST TYPE,DST GRP,INCLUSION(DST GRP),DST,DST ADDR,FQDN,Count,Sub Domain,Auto Collection,SVC GRP,INCLUSION(SVC GRP),SVC,SVC SPEC,SCHEDULE,SCHEDULE SPEC,ACTION,LOGGING,LOG ID,DALIY HIT COUNT,WEEKLY HIT COUNT,MONTHLY HIT COUNT,2MONTHLY HIT COUNT,QUARTERLY HIT COUNT,PROXY ENABLED,PROXY TYPE,PROXY USER,TRANSPARENT PROXY ENABLED,QoS,QoS SPEC,SESSION LIMIT ACTION,SESSION LIMIT,DESC,REVERSIBLE,LOGGID,IPS USE,IPS PROFILE,APPCTL USE,APPCTL PROFILE,WEBFILTER USE,WEBFILTER PROFILE,ANTI-MALSITE USE,ANTI-MALSITE PROFILE,CNC USE,CNC PROFILE,FILE COLLECT USE,ANTI-VIRUS USE,ANTI-VIRUS PROFILE,MOD TIME,DLP USE,DLP PROFILE,UNUSED USE,UNUSED DAY,STREAM USE,SPAMFILTER USE,SPAMFILTER PROFILE,TIMEOUT USE,TIMEOUT,POLICY ID
,,,,,,,,,,,,,,,,,,,,,,>,Virus_UDP_Port_1,udp 1-65535 135-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_UDP_Port_2,udp 1-65535 1025-1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_UDP_Port_3,udp 1-65535 1080-1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_UDP_Port_4,udp 1-65535 1433-1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_UDP_Port_5,udp 1-65535 3410-3410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_UDP_Port_6,udp 1-65535 5000-5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Yes,AGRP,³»ºÎ¸Á,>,192.168.0.0/24,192.168.0.0/24,,,,,,AGRP,virus_IP,>,207.189.104.86,207.189.104.86/32,,,,,,,all,all,always,1 00:00-24:00 0 0 0 0 0 0 ,Deny,Yes,Victim_log2,0,0,0,0,0,No,,,No,,,0,1500,¼³¸í,Yes,,No,default,No,default,No,default,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,5
,,,,,,,,,,,,,,>,208.73.212.12,208.73.212.12/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,211.149.178.195,211.149.178.195/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,216.52.184.243,216.52.184.243/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,34.78.211.173,34.78.211.173/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,64.74.223.9,64.74.223.9/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,66.45.238.61,66.45.238.61/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,69.25.142.57,69.25.142.57/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,72.10.166.178,72.10.166.178/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,74.222.13.122,74.222.13.122/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,81.95.146.251,81.95.146.251/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,81.95.153.105,81.95.153.105/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,85.114.143.2,85.114.143.2/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,85.128.193.242,85.128.193.242/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,89.149.230.33,89.149.230.33/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,>,89.188.16.60,89.188.16.60/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
